"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-12","54.24","54.70","54.72","54.08","378.39K","-0.82%"
"2025-12-11","54.69","54.44","54.74","54.30","207.17K","0.24%"
"2025-12-10","54.56","54.23","54.63","54.20","284.89K","0.53%"
"2025-12-09","54.27","54.23","54.40","54.19","182.68K","-0.06%"
"2025-12-08","54.30","54.37","54.40","54.20","286.96K","-0.13%"
"2025-12-05","54.37","54.70","54.77","54.34","270.68K","-0.69%"
"2025-12-04","54.75","54.69","54.75","54.56","136.58K","0.44%"
"2025-12-03","54.51","54.27","54.53","54.27","208.31K","0.26%"
"2025-12-02","54.37","54.54","54.54","54.22","231.96K","-0.02%"
"2025-12-01","54.38","54.30","54.59","54.25","234.69K","-0.58%"
"2025-11-28","54.69","54.53","54.76","54.40","195.92K","-0.10%"
"2025-11-27","54.75","54.65","54.77","54.60","139.59K","0.46%"
"2025-11-26","54.50","54.39","54.60","54.39","258.97K","0.53%"
"2025-11-25","54.21","53.83","54.27","53.58","218.90K","0.91%"
"2025-11-24","53.72","53.38","53.75","53.13","327.08K","1.28%"
"2025-11-21","53.04","52.70","53.30","52.50","432.76K","0.97%"
"2025-11-20","52.53","53.75","54.80","52.51","636.44K","-1.19%"
"2025-11-19","53.16","52.90","53.27","52.88","321.95K","0.66%"
"2025-11-18","52.81","52.88","53.04","52.55","461.38K","-0.90%"
"2025-11-17","53.29","53.74","54.90","53.07","419.35K","-0.86%"
"2025-11-14","53.75","53.27","53.99","53.11","314.52K","-0.04%"
"2025-11-13","53.77","54.45","54.45","53.67","395.74K","-1.41%"
"2025-11-12","54.54","54.49","54.58","54.40","169.77K","0.46%"
"2025-11-11","54.29","54.10","54.33","54.05","171.58K","0.26%"
"2025-11-10","54.15","53.97","54.19","53.80","235.93K","1.33%"
"2025-11-07","53.44","53.28","53.45","52.87","437.02K","-0.34%"
"2025-11-06","53.62","53.90","54.10","53.52","285.95K","-0.70%"
"2025-11-05","54.00","53.80","54.21","53.78","247.92K","0.67%"
"2025-11-04","53.64","53.83","53.97","53.60","317.69K","-1.09%"
"2025-11-03","54.23","54.28","54.36","53.98","270.13K","0.26%"
"2025-10-31","54.09","54.40","54.40","53.86","255.95K","0.35%"
"2025-10-30","53.90","54.08","54.17","53.86","299.48K","-0.33%"
"2025-10-29","54.08","54.32","54.38","53.85","475.51K","-0.37%"
"2025-10-28","54.28","54.44","54.44","54.20","262.90K","-0.06%"
"2025-10-27","54.31","54.31","54.35","54.17","206.58K","0.62%"
"2025-10-24","53.98","53.90","54.15","53.88","238.92K","0.65%"
"2025-10-23","53.63","53.43","53.73","53.41","189.80K","0.66%"
"2025-10-22","53.28","53.50","53.53","53.00","357.02K","-0.37%"
"2025-10-21","53.48","53.81","53.81","53.45","199.93K","-0.76%"
"2025-10-20","53.89","53.53","53.93","53.53","240.58K","1.14%"
"2025-10-17","53.28","53.29","53.41","53.06","369.83K","-0.28%"
"2025-10-16","53.43","53.91","53.92","53.28","334.22K","-0.50%"
"2025-10-15","53.70","53.66","53.95","53.29","282.01K","0.79%"
"2025-10-14","53.28","52.74","53.49","52.69","556.95K","1.83%"
"2025-10-10","52.32","53.58","53.64","52.31","745.34K","-2.41%"
"2025-10-09","53.61","53.78","53.78","53.44","277.93K","-0.20%"
"2025-10-08","53.72","53.60","53.72","53.44","237.99K","0.54%"
"2025-10-07","53.43","53.87","53.87","53.34","382.37K","-0.60%"
"2025-10-06","53.75","53.80","53.89","53.66","290.97K","0.26%"
