"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-12","33.42","33.62","33.62","33.39","38.24K","-0.54%"
"2025-12-11","33.60","33.57","33.64","33.49","31.10K","0.18%"
"2025-12-10","33.54","33.40","33.58","33.39","63.75K","0.39%"
"2025-12-09","33.41","33.45","33.46","33.40","87.10K","-0.12%"
"2025-12-08","33.45","33.46","33.46","33.39","71.18K","-0.06%"
"2025-12-05","33.47","33.65","33.65","33.47","88.35K","-0.77%"
"2025-12-04","33.73","33.74","33.74","33.66","52.57K","0.21%"
"2025-12-03","33.66","33.58","33.68","33.58","50.67K","0.18%"
"2025-12-02","33.60","33.64","33.64","33.53","79.30K","0.03%"
"2025-12-01","33.59","33.65","33.68","33.57","106.36K","-0.94%"
"2025-11-28","33.91","33.74","33.93","33.67","50.51K","0.15%"
"2025-11-27","33.86","33.74","33.87","33.72","87.13K","0.47%"
"2025-11-26","33.70","33.67","33.74","33.65","50.27K","0.33%"
"2025-11-25","33.59","33.44","33.60","33.32","71.33K","0.75%"
"2025-11-24","33.34","33.21","33.36","33.16","76.55K","0.82%"
"2025-11-21","33.07","32.91","33.16","32.88","50.44K","0.64%"
"2025-11-20","32.86","33.32","33.36","32.85","121.69K","-0.67%"
"2025-11-19","33.08","33.06","33.12","32.99","72.31K","0.39%"
"2025-11-18","32.95","33.01","33.04","32.87","120.98K","-0.69%"
"2025-11-17","33.18","33.34","33.37","33.10","118.79K","-0.57%"
"2025-11-14","33.37","33.20","33.45","33.15","73.19K","-0.06%"
"2025-11-13","33.39","33.66","33.66","33.38","74.64K","-0.98%"
"2025-11-12","33.72","33.68","33.73","33.68","85.81K","0.30%"
"2025-11-11","33.62","33.50","33.65","33.50","50.39K","0.21%"
"2025-11-10","33.55","33.46","33.56","33.42","82.25K","0.90%"
"2025-11-07","33.25","33.19","33.27","33.09","101.19K","-0.36%"
"2025-11-06","33.37","33.47","33.50","33.35","34.57K","-0.33%"
"2025-11-05","33.48","33.40","33.56","33.40","47.70K","0.42%"
"2025-11-04","33.34","33.37","33.48","33.33","41.61K","-0.71%"
"2025-11-03","33.58","33.63","33.66","33.49","88.34K","0.12%"
"2025-10-31","33.54","33.62","33.62","33.44","50.85K","0.24%"
"2025-10-30","33.46","33.53","33.56","33.45","27.85K","-0.18%"
"2025-10-29","33.52","33.73","33.73","33.43","68.24K","-0.45%"
"2025-10-28","33.67","33.78","33.78","33.64","69.90K","-0.09%"
"2025-10-27","33.70","33.60","33.70","33.60","83.57K","0.54%"
"2025-10-24","33.52","33.53","33.59","33.52","33.96K","0.48%"
"2025-10-23","33.36","33.28","33.42","33.28","170.96K","0.30%"
"2025-10-22","33.26","33.35","33.35","33.15","83.70K","-0.30%"
"2025-10-21","33.36","33.47","33.47","33.34","41.31K","-0.42%"
"2025-10-20","33.50","33.39","33.52","33.38","53.86K","0.72%"
"2025-10-17","33.26","33.21","33.28","33.16","52.42K","-0.09%"
"2025-10-16","33.29","33.40","33.46","33.24","76.36K","-0.12%"
"2025-10-15","33.33","33.30","33.45","33.23","56.35K","0.51%"
"2025-10-14","33.16","32.97","33.27","32.94","107.14K","1.04%"
"2025-10-10","32.82","33.30","33.30","32.81","78.49K","-1.29%"
"2025-10-09","33.25","33.33","33.33","33.20","29.28K","-0.15%"
"2025-10-08","33.30","33.28","33.31","33.22","46.08K","0.33%"
"2025-10-07","33.19","33.37","33.37","33.16","94.99K","-0.33%"
"2025-10-06","33.30","33.36","33.36","33.29","47.02K","0.03%"
"2025-10-03","33.29","33.18","33.33","33.18","33.05K","0.30%"
"2025-10-02","33.19","33.21","33.21","33.10","66.83K","0.21%"
"2025-10-01","33.12","33.02","33.14","33.02","39.88K","0.33%"
"2025-09-30","33.01","32.93","33.02","32.89","46.84K","0.24%"
"2025-09-29","32.93","32.89","32.96","32.89","55.17K","0.34%"
"2025-09-26","32.82","32.80","32.83","32.76","49.42K","0.24%"
"2025-09-25","32.74","32.74","32.74","32.61","46.49K","-0.18%"
"2025-09-24","32.80","32.90","32.90","32.79","44.98K","-0.52%"
"2025-09-23","32.97","33.07","33.09","32.95","56.89K","-0.18%"
"2025-09-22","33.03","32.92","33.05","32.89","48.35K","0.40%"
"2025-09-19","32.90","33.12","33.21","32.80","99.05K","0.21%"
"2025-09-18","32.83","32.79","32.89","32.74","22.93K","0.31%"
"2025-09-17","32.73","32.76","32.80","32.62","57.38K","0.00%"
"2025-09-16","32.73","32.78","32.78","32.69","60.70K","-0.12%"
"2025-09-15","32.77","32.81","32.82","32.76","38.06K","0.09%"
"2025-09-12","32.74","32.81","32.81","32.73","42.17K","-0.15%"
"2025-09-11","32.79","32.71","32.80","32.71","29.37K","0.52%"
"2025-09-10","32.62","32.62","32.64","32.60","35.18K","0.25%"
"2025-09-09","32.54","32.50","32.54","32.45","42.39K","0.18%"
"2025-09-08","32.48","32.45","32.50","32.42","76.91K","0.28%"
"2025-09-05","32.39","32.39","32.45","32.29","28.75K","0.40%"
"2025-09-04","32.26","32.11","32.26","32.11","36.18K","0.59%"
"2025-09-03","32.07","32.00","32.07","32.00","32.40K","0.44%"
"2025-09-02","31.93","31.87","31.93","31.81","48.68K","-0.25%"
"2025-08-29","32.01","32.08","32.08","31.97","32.05K","-0.25%"
"2025-08-28","32.09","32.10","32.10","32.04","30.53K","0.09%"
"2025-08-27","32.06","32.04","32.07","32.03","54.03K","0.03%"
"2025-08-26","32.05","32.02","32.06","32.00","51.33K","0.06%"
"2025-08-25","32.03","32.08","32.08","32.03","52.70K","-0.37%"
"2025-08-22","32.15","32.00","32.20","32.00","29.95K","0.78%"
"2025-08-21","31.90","31.89","31.93","31.85","33.95K","-0.16%"
"2025-08-20","31.95","31.95","31.95","31.84","61.13K","0.13%"
"2025-08-19","31.91","32.00","32.02","31.91","31.14K","0.06%"
"2025-08-18","31.89","31.90","31.92","31.86","44.60K","-0.09%"
"2025-08-15","31.92","31.97","31.98","31.91","49.91K","-0.09%"
"2025-08-14","31.95","31.94","31.95","31.88","49.68K","-0.06%"
"2025-08-13","31.97","31.91","31.97","31.91","65.19K","0.41%"
"2025-08-12","31.84","31.80","31.84","31.71","72.35K","0.51%"
"2025-08-11","31.68","31.74","31.74","31.68","59.60K","0.00%"
"2025-08-08","31.68","31.68","31.71","31.66","73.39K","0.32%"
"2025-08-07","31.58","31.68","31.69","31.56","36.36K","0.03%"
"2025-08-06","31.57","31.55","31.59","31.50","29.76K","0.35%"
"2025-08-05","31.46","31.53","31.54","31.43","56.55K","0.74%"
"2025-08-01","31.23","31.24","31.24","31.10","53.36K","-0.54%"
"2025-07-31","31.40","31.50","31.59","31.40","32.51K","-0.19%"
"2025-07-30","31.46","31.54","31.55","31.40","41.29K","-0.19%"
"2025-07-29","31.52","31.50","31.52","31.48","23.23K","0.29%"
"2025-07-28","31.43","31.51","31.51","31.39","41.24K","-0.29%"
"2025-07-25","31.52","31.41","31.53","31.40","31.39K","0.48%"
"2025-07-24","31.37","31.30","31.42","31.30","89.47K","0.03%"
"2025-07-23","31.36","31.30","31.38","31.30","70.60K","0.42%"
"2025-07-22","31.23","31.26","31.26","31.18","51.70K","0.00%"
"2025-07-21","31.23","31.24","31.33","31.23","31.22K","0.11%"
"2025-07-18","31.19","31.24","31.25","31.19","36.98K","-0.16%"
"2025-07-17","31.24","31.13","31.25","31.13","32.94K","0.58%"
"2025-07-16","31.06","31.06","31.08","30.90","65.97K","0.13%"
"2025-07-15","31.02","31.19","31.19","31.02","63.45K","-0.48%"
"2025-07-14","31.17","31.07","31.17","31.07","49.24K","0.19%"
"2025-07-11","31.11","31.10","31.12","31.07","54.65K","-0.42%"
"2025-07-10","31.24","31.21","31.26","31.15","34.78K","0.10%"
"2025-07-09","31.21","31.14","31.22","31.13","31.95K","0.42%"
"2025-07-08","31.08","31.09","31.09","31.04","42.66K","0.03%"
"2025-07-07","31.07","31.15","31.15","31.01","52.96K","-0.29%"
"2025-07-04","31.16","31.15","31.17","31.08","34.74K","0.19%"
"2025-07-03","31.10","31.10","31.17","31.05","31.22K","0.19%"
"2025-07-02","31.04","31.04","31.05","30.98","69.27K","-0.06%"
"2025-06-30","31.06","31.12","31.12","30.99","49.70K","0.13%"
"2025-06-27","31.02","30.95","31.06","30.95","50.14K","0.49%"
"2025-06-26","30.87","30.77","30.87","30.76","51.25K","0.32%"
"2025-06-25","30.77","30.85","30.85","30.76","54.23K","-1.09%"
"2025-06-24","31.11","30.97","31.13","30.96","45.82K","0.68%"
"2025-06-23","30.90","30.85","30.93","30.77","53.39K","0.52%"
"2025-06-20","30.74","30.89","30.89","30.73","35.77K","-0.61%"
"2025-06-19","30.93","30.74","31.00","30.67","29.45K","0.55%"
"2025-06-18","30.76","30.73","30.83","30.71","43.91K","0.29%"
"2025-06-17","30.67","30.70","30.71","30.64","15.89K","-0.13%"
"2025-06-16","30.71","30.64","30.81","30.64","69.82K","0.26%"
"2025-06-13","30.63","30.76","30.76","30.60","56.68K","-0.75%"
"2025-06-12","30.86","30.84","30.86","30.80","35.13K","0.03%"
"2025-06-11","30.85","30.87","30.92","30.83","51.18K","0.00%"
"2025-06-10","30.85","30.88","30.88","30.78","38.66K","0.23%"
"2025-06-09","30.78","30.82","30.85","30.75","25.32K","-0.06%"
"2025-06-06","30.80","30.83","30.83","30.75","17.50K","0.39%"
"2025-06-05","30.68","30.77","30.81","30.67","60.55K","-0.23%"
"2025-06-04","30.75","30.78","30.79","30.74","44.60K","0.03%"
"2025-06-03","30.74","30.69","30.77","30.68","25.82K","0.13%"
"2025-06-02","30.70","30.61","30.72","30.55","30.32K","0.20%"
"2025-05-30","30.64","30.66","30.67","30.51","33.68K","-0.16%"
"2025-05-29","30.69","30.80","30.80","30.63","37.22K","0.13%"
"2025-05-28","30.65","30.75","30.75","30.61","24.96K","-0.29%"
"2025-05-27","30.74","30.62","30.74","30.56","35.80K","0.52%"
"2025-05-26","30.58","30.59","30.59","30.46","38.30K","0.99%"
"2025-05-23","30.28","30.23","30.32","30.23","42.87K","-0.49%"
"2025-05-22","30.43","30.43","30.50","30.37","92.43K","0.02%"
"2025-05-21","30.42","30.60","30.63","30.39","24.83K","-1.06%"
"2025-05-20","30.75","30.76","30.79","30.70","47.52K","-0.19%"
"2025-05-16","30.81","30.72","30.82","30.71","38.56K","0.31%"
"2025-05-15","30.72","30.56","30.73","30.56","26.01K","0.57%"
"2025-05-14","30.54","30.57","30.57","30.50","41.14K","0.03%"
"2025-05-13","30.53","30.52","30.58","30.52","54.25K","0.13%"
"2025-05-12","30.49","30.59","30.59","30.40","48.89K","1.23%"
