"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-12","35.63","36.02","36.02","35.61","58.70K","-1.10%"
"2025-12-11","36.03","36.03","36.08","35.82","21.76K","-0.51%"
"2025-12-10","36.21","36.07","36.25","36.05","31.12K","0.47%"
"2025-12-09","36.04","35.92","36.06","35.87","35.46K","-0.06%"
"2025-12-08","36.06","36.07","36.07","35.92","34.03K","0.03%"
"2025-12-05","36.05","36.20","36.39","36.03","59.33K","-0.36%"
"2025-12-04","36.18","36.16","36.21","36.09","43.73K","0.06%"
"2025-12-03","36.16","36.04","36.16","36.00","65.13K","-0.22%"
"2025-12-02","36.24","36.33","36.33","36.12","69.42K","-0.22%"
"2025-12-01","36.32","36.12","36.35","36.11","40.44K","0.08%"
"2025-11-28","36.29","36.18","36.36","36.12","90.40K","-0.33%"
"2025-11-27","36.41","36.56","36.56","36.28","170.67K","0.22%"
"2025-11-26","36.33","36.36","36.39","36.23","29.73K","0.32%"
"2025-11-25","36.22","36.13","36.22","35.89","75.69K","0.07%"
"2025-11-24","36.19","35.78","36.19","35.77","29.43K","1.33%"
"2025-11-21","35.72","35.48","35.87","35.34","42.31K","-0.07%"
"2025-11-20","35.74","36.44","36.47","35.73","66.53K","-1.11%"
"2025-11-19","36.14","35.99","36.20","35.94","57.51K","0.28%"
"2025-11-18","36.04","36.05","36.15","35.91","51.84K","-1.07%"
"2025-11-17","36.43","36.49","36.72","36.31","49.31K","-0.98%"
"2025-11-14","36.79","36.48","36.97","36.31","62.18K","-0.08%"
"2025-11-13","36.82","37.19","37.19","36.71","64.42K","-0.75%"
"2025-11-12","37.10","37.15","37.15","37.00","30.33K","0.04%"
"2025-11-11","37.08","37.05","37.16","37.00","40.70K","-0.01%"
"2025-11-10","37.09","36.96","37.10","36.85","41.03K","1.48%"
"2025-11-07","36.55","36.43","36.55","36.21","85.79K","-0.92%"
"2025-11-06","36.89","37.07","37.09","36.77","60.85K","-0.65%"
"2025-11-05","37.13","36.89","37.21","36.87","70.66K","0.90%"
"2025-11-04","36.80","36.90","37.03","36.74","103.19K","-1.58%"
"2025-11-03","37.39","37.37","37.39","37.22","59.79K","0.89%"
"2025-10-31","37.06","37.08","37.08","36.88","54.12K","0.22%"
"2025-10-30","36.98","37.29","37.29","36.96","36.98K","-0.86%"
"2025-10-29","37.30","37.27","37.33","37.08","84.44K","0.67%"
"2025-10-28","37.05","37.01","37.09","36.91","48.52K","-0.46%"
"2025-10-27","37.22","37.16","37.22","37.08","74.07K","1.09%"
"2025-10-24","36.82","36.91","36.97","36.81","50.63K","0.74%"
"2025-10-23","36.55","36.37","36.63","36.36","42.75K","0.77%"
"2025-10-22","36.27","36.49","36.56","36.15","65.39K","-0.41%"
"2025-10-21","36.42","36.54","36.54","36.38","36.06K","-0.92%"
"2025-10-20","36.76","36.55","36.82","36.55","78.41K","1.27%"
"2025-10-17","36.30","36.12","36.33","36.10","50.76K","-0.19%"
