"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-12","46.26","46.49","46.53","46.16","147.74K","-0.52%"
"2025-12-11","46.50","46.37","46.57","46.32","119.88K","0.37%"
"2025-12-10","46.33","46.02","46.37","46.02","563.10K","0.67%"
"2025-12-09","46.02","46.08","46.17","46.00","150.21K","-0.12%"
"2025-12-08","46.08","46.10","46.10","45.96","208.15K","-0.12%"
"2025-12-05","46.13","46.55","46.55","46.11","225.42K","-0.86%"
"2025-12-04","46.53","46.64","46.70","46.45","239.17K","0.24%"
"2025-12-03","46.42","46.23","46.44","46.20","153.31K","0.28%"
"2025-12-02","46.29","46.36","46.36","46.17","156.23K","0.17%"
"2025-12-01","46.21","46.22","46.35","46.12","223.95K","-0.35%"
"2025-11-28","46.37","46.27","46.41","46.16","266.37K","0.02%"
"2025-11-27","46.36","46.38","46.38","46.26","141.08K","0.02%"
"2025-11-26","46.35","46.26","46.42","46.23","166.07K","0.63%"
"2025-11-25","46.06","45.76","46.07","45.66","143.15K","1.10%"
"2025-11-24","45.56","45.45","45.61","45.34","165.53K","0.33%"
"2025-11-21","45.41","45.09","45.52","45.09","197.76K","1.44%"
"2025-11-20","44.76","45.54","45.60","44.75","352.59K","-1.07%"
"2025-11-19","45.25","45.20","45.38","45.08","214.27K","0.19%"
"2025-11-18","45.17","45.50","45.50","45.04","268.37K","-1.73%"
"2025-11-17","45.96","46.22","46.32","45.82","213.27K","-1.08%"
"2025-11-14","46.46","46.21","46.54","46.19","204.70K","-0.34%"
"2025-11-13","46.62","46.87","46.95","46.58","175.51K","-0.68%"
"2025-11-12","46.94","46.90","47.01","46.90","180.89K","0.47%"
"2025-11-11","46.72","46.47","46.76","46.47","142.03K","0.65%"
"2025-11-10","46.42","46.23","46.44","46.15","160.89K","0.89%"
"2025-11-07","46.01","45.75","46.01","45.72","251.27K","-0.22%"
"2025-11-06","46.11","46.25","46.26","46.04","175.32K","-0.19%"
"2025-11-05","46.20","45.99","46.26","45.99","166.86K","0.63%"
"2025-11-04","45.91","45.91","46.08","45.85","273.88K","-0.67%"
"2025-11-03","46.22","46.22","46.27","46.15","203.82K","0.20%"
"2025-10-31","46.13","46.18","46.18","45.94","304.92K","0.00%"
"2025-10-30","46.13","46.08","46.27","46.05","151.62K","-0.15%"
"2025-10-29","46.20","46.39","46.39","45.95","319.50K","-0.50%"
"2025-10-28","46.43","46.59","46.59","46.42","277.72K","-0.54%"
"2025-10-27","46.68","46.56","46.68","46.55","138.03K","0.69%"
"2025-10-24","46.36","46.45","46.49","46.34","83.42K","0.30%"
"2025-10-23","46.22","46.05","46.27","46.05","177.37K","0.48%"
"2025-10-22","46.00","46.15","46.18","45.84","280.09K","-0.28%"
"2025-10-21","46.13","46.28","46.31","46.13","138.75K","-0.84%"
"2025-10-20","46.52","46.34","46.55","46.33","126.07K","0.93%"
